"student_id","gender","iq","grade_point_average"
1,"female",110.825840026318,7.34622737772921
2,"male",101.302850253955,6.26590599956754
3,"male",73.27450646963,5.81254490643485
4,"female",99.0256165018691,5.19288317596137
5,"male",83.0347934123517,4.37237974139793
6,"male",81.0709440983806,4.77585113130358
7,"male",114.764464615623,8.90657218188051
8,"male",98.5727412365108,4.21235671138136
9,"male",76.9852865052388,6.24098874784093
10,"female",88.4889418564796,5.55842403604144
11,"male",106.446180905998,6.60467869735375
12,"female",96.160284532548,4.96753031275185
13,"female",90.0690479123005,4.10096884666023
14,"female",90.4479970397194,4.7482107725915
15,"male",95.5843163844688,5.99134343484354
16,"female",103.028518694572,5.99132098693757
17,"male",125.607488733315,9.83329605572844
18,"male",80.0232553459615,4.653093585528
19,"male",146.500207531463,10.2917174097841
20,"male",118.993200225965,8.45583664460572
21,"male",101.855257228248,5.91525916725674
22,"female",107.233439507264,7.93432983350132
23,"male",87.0759283829557,2.56990130781976
24,"male",91.1568272121103,5.40642545078983
25,"female",100.506108143282,6.62614473823434
26,"female",67.1440075685636,5.24303206837058
27,"male",93.160847329131,5.16393475579453
28,"male",118.837488240586,8.05446200400258
29,"male",123.751369851422,10.7493821979182
30,"male",103.767520758673,4.87250082107069
31,"female",99.9887457369473,4.2191430684042
32,"female",125.778089213693,9.79721744934348
33,"female",122.406413877401,7.55022075681073
34,"male",79.508820704277,4.65814603663736
35,"male",102.903412456719,6.0867193847631
36,"female",111.118667596399,7.03207047121824
37,"female",102.658243850981,5.02466493989271
38,"female",102.65906847304,7.76491616154373
39,"male",98.6311318103355,6.84486908120766
40,"male",98.0205065519063,6.94493174456252
41,"female",98.3932249827368,6.08392238558302
42,"male",95.9309027200303,4.369163660567
43,"male",99.1224552236488,6.5366695006683
44,"female",115.724074331511,7.42312330911914
45,"male",138.130565981322,11.8606693718121
46,"male",92.8085696089889,5.51532584970821
47,"female",97.8392091443273,5.83755865214461
48,"female",93.8802389532999,5.24478610122498
49,"female",130.097687594339,8.63101540404179
50,"female",86.5763205869162,4.56340105110887
51,"female",61.5014901174594,4.28034395644479
52,"male",105.413748634679,5.09823061203464
53,"female",67.5460439964264,6.14995901678596
54,"female",79.5944163121311,4.8981987127721
55,"female",124.161229692918,11.2682483025763
56,"male",118.12993212182,9.21798199664444
57,"female",109.864613496744,8.29937862747954
58,"female",67.2598568250224,6.54256589313845
59,"female",92.6579551150054,5.2472183779174
60,"male",74.6581839348089,5.98938354829487
61,"male",116.230537974603,8.15592989234688
62,"female",90.7465915847993,4.25754561395175
63,"female",63.4217910083103,4.85253625858193
64,"male",113.063252623645,9.97521263573548
65,"female",123.231573832874,8.64318523768543
66,"female",90.5976695019765,5.88412088069112
67,"female",96.226932528058,5.83219548689067
68,"male",103.850150757052,6.92309146035591
69,"male",93.5173657661294,3.97292069638763
70,"male",117.735481364654,8.48644773549841
71,"female",107.397603188944,7.33747159817377
72,"male",80.8489878180096,5.89420476829195
73,"female",84.2826607051863,3.83697937990084
74,"male",101.790184787167,6.11960098219723
75,"female",112.02916180051,6.26141769434851
76,"female",91.2144442838659,5.23225501383383
77,"male",94.0254750078799,6.15367292506124
78,"male",93.3821703628705,6.68419940701983
79,"female",75.3800265085572,4.90204249691847
80,"male",116.913735381213,9.67537813861396
81,"male",104.604582233232,6.64712799731702
82,"female",105.428041284921,7.87802231740184
83,"male",52.6484693732264,6.63430047495775
84,"male",85.4520023808242,5.52157800320288
85,"female",111.346548440576,9.35999800131309
86,"male",110.549890741063,6.00807243625679
87,"female",89.427282972778,5.65683606851533
88,"female",91.7184141640105,7.51150220257019
89,"female",107.692740381234,7.78757139191139
90,"female",105.427247817343,8.14157459268255
91,"female",118.558555068035,9.25867197351628
92,"male",124.103782978547,7.84651304936284
93,"female",89.5567093724226,4.88085076434095
94,"female",103.377286984002,7.00646647239088
95,"male",88.9895463134675,5.02619327343495
96,"male",98.6858367463069,5.03950331844995
97,"male",77.1056492920696,4.90054856900882
98,"male",97.3679287997855,5.25742161861373
99,"female",109.1015215415,9.17794645422384
100,"female",95.3130701776111,4.97515140590714
